ID,Description1,Price1,Price2,Price3,ID_1,Description
INSCON-128,INSORB COND GAL           *,73.5,151,152,CONDITIO,CONDITIONER
AFPHY-05,PHYTOSOME CREME HALF OUNCE,6,12,12,FACIAL,FACIAL
AFTSG,TROPICAL SPA GEL,6,12,12,FACIAL,FACIAL
AFFCG,FACIAL TONING GELEE,10,20,20,FACIAL,FACIAL
AFFCL,FACIAL CLEANSING LOTION,10,20,20,FACIAL,FACIAL
AFLEC,EYE AND LIP CREAM,17.5,35,35,FACIAL,FACIAL
AFPHY,PHYTOSOME 2 OUNCE,22.5,45,45,FACIAL,FACIAL
AFIP,INSTANT PEEL,25,50,50,FACIAL,FACIAL
AFMINISYSTEM,AF MINI SYSTEM,25,50,50,FACIAL,FACIAL
AFFULLSYSTE,AF FULL SYSTEM,50,100,100,FACIAL,FACIAL
MEN COLOGNE,MEN COLOGNE,0,0,0,PARFUM,FRAGRANCE
PARF-CRUMEN,PARFUME CRUISER MEN,15,30,30,PARFUM,FRAGRANCE
PARF-D'HOMME,PARFUME D'HOMME EDT,15,30,30,PARFUM,FRAGRANCE
PARF-D'OR,PARFUM D'OR,15,30,30,PARFUM,FRAGRANCE
PARF-IGNITIO,PARFUM  IGNITION,15,30,30,PARFUM,FRAGRANCE
PARF-IVERSE,PARFUM IVERSE FOR WOMEN,15,30,30,PARFUM,FRAGRANCE
PARF-KSM,PARFUM KSM 100 ML,15,30,30,PARFUM,FRAGRANCE
PARF-L'ELUE,PARFUM L'ELUE,15,30,30,PARFUM,FRAGRANCE
INDEFINI,INDEFINI WOMAN,15,30,30,PARFUM,FRAGRANCE
7 RUE ROYALE,7 RUE ROYALE,15,30,30,PARFUM,FRAGRANCE
JUST IMAGNATION M,JUST IMAGINATION MEN,15,30,30,PARFUM,FRAGRANCE
JUST IMAGINATION W,JUST IMAGINATION WOMAN,15,30,30,PARFUM,FRAGRANCE
GRIFFS MEN,FRIFFS MEN,15,30,30,PARFUM,FRAGRANCE
GRIFFS W,GRIFFS WOMAN,15,30,30,PARFUM,FRAGRANCE
PROXIMO M,PROXIMO MEN,15,30,30,PARFUM,FRAGRANCE
PROXIMO W,PROXIMO WOMAN,15,30,30,PARFUM,FRAGRANCE
PARF-ATTRACT,PARFUME ATTRACTIVE,50,50,50,PARFUM,FRAGRANCE
PARF-CRUWOM,PARFUME CRUISER WOMAN,50,50,50,PARFUM,FRAGRANCE
S2 20/27,SPIKEY SCRUNCHIE,6.5,0,0,HAIR A,HAIR ACCESORIES
S2 4/35T,SPIKEY SCRUNCHIE,6.5,0,0,HAIR A,HAIR ACCESORIES
S3 27/10,WAVY SCRUNCHIE,6.5,0,0,HAIR A,HAIR ACCESORIES
S3 27/30,WAVY SCRUNCHIE,6.5,0,0,HAIR A,HAIR ACCESORIES
S3 25/32/30,WAVY SCRUNCHIE,6.5,0,0,HAIR A,HAIR ACCESORIES
S8 27/10,CASCADE/CURLY W/CLIP,20,0,0,HAIR A,HAIR ACCESORIES
S9 1/B3,CASCADE W/CLIP-LONG/BRAID,25,0,0,HAIR A,HAIR ACCESORIES
S9 1/B33,CASCADE W/CLIP-LONG/BRAID,25,0,0,HAIR A,HAIR ACCESORIES
S9 10/12,CASCADE W/CLIP-LONG/BRAID,25,0,0,HAIR A,HAIR ACCESORIES
S9 10/25T,CASCADE W/CLIP-LONG/BRAID,25,0,0,HAIR A,HAIR ACCESORIES
S9 120/220,CASCADE W/CLIP-LONG/BRAID,25,0,0,HAIR A,HAIR ACCESORIES
S9 27/10,CASCADE W/CLIP-LONG/BRAID,25,0,0,HAIR A,HAIR ACCESORIES
S9 27/30,CASCADE W/CLIP-LONG/BRAID,25,0,0,HAIR A,HAIR ACCESORIES
S9 20/27,CASCADE W/CLIP-LONG/BRAID,25,0,0,HAIR A,HAIR ACCESORIES
S9 25/32/30,CASCADE W/CLIP-LONG/BRAID,25,0,0,HAIR A,HAIR ACCESORIES
S9 30/33,CASCADE W/CLIP-LONG/BRAID,25,0,0,HAIR A,HAIR ACCESORIES
S9 4/27T,CASCADE W/CLIP-LONG/BRAID,25,0,0,HAIR A,HAIR ACCESORIES
S9 4/35T,CASCADE W/CLIP-LONG/BRAID,25,0,0,HAIR A,HAIR ACCESORIES
S9 6/4,CASCADE W/CLIP-LONG/BRAID,25,0,0,HAIR A,HAIR ACCESORIES
S9 8,CASCADE W/CLIP-LONG/BRAID,25,0,0,HAIR A,HAIR ACCESORIES
S9 88T27,CASCADE W/CLIP-LONG/BRAID,25,0,0,HAIR A,HAIR ACCESORIES
S10 4/27T,CASCADE W/CLIP-PERM,20,0,0,HAIR A,HAIR ACCESORIES
S12 27/10,CASCADE W/CLIP-SHORT/CURLY,20,0,0,HAIR A,HAIR ACCESORIES
S13 4/35T,CASCADE W/CLIP,20,0,0,HAIR A,HAIR ACCESORIES
S13 6/4,CASCADE W/CLIP,20,0,0,HAIR A,HAIR ACCESORIES
S14 6/4,CASCADE W/CLIP-LONG/CURLY,25,0,0,HAIR A,HAIR ACCESORIES
S40 27/30,SHORT BOB/HEADBAND,50,0,0,HAIR A,HAIR ACCESORIES
S9 1/6,,25,0,0,HAIR A,HAIR ACCESORIES
S9 10/13,,25,0,0,HAIR A,HAIR ACCESORIES
S9 12T88,,25,0,0,HAIR A,HAIR ACCESORIES
S9 25/144/6,,25,0,0,HAIR A,HAIR ACCESORIES
S9 88/27,,25,0,0,HAIR A,HAIR ACCESORIES
S9 27V66,,25,0,0,HAIR A,HAIR ACCESORIES
S9 1,,25,0,0,HAIR A,HAIR ACCESORIES
S9 23B25,,25,0,0,HAIR A,HAIR ACCESORIES
