ID,Description1,Price1,Price2,Price3,ID_1,Description,Folder,File Name
SOY CANDLE BLACK,BLACK BERRY,5,10,10,CANDLE,SOY CANDLE,,
SOY CANDLE CINNAMON,CINNAMON,5,10,10,CANDLE,SOY CANDLE,,
SOY CANDLE COUNTRY,COUNTRY SPICE,5,10,10,CANDLE,SOY CANDLE,,
SOY CANDLE GRANDMAS,GRANDMA'S KITCHEN,5,10,10,CANDLE,SOY CANDLE,,
SOY CANDLE LILAC,LILAC,5,10,10,CANDLE,SOY CANDLE,,
SOY CANDLE ORANGE,ORANGE CANTALOUPE,5,10,10,CANDLE,SOY CANDLE,,
SOY CANDLE VANILLA,FRENCH VANILLA,5,10,10,CANDLE,SOY CANDLE,,
1 N NERO,1 N NERO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
1 NERO,1 NERO BLU,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
1 V NERO,1 V NERO VIOLINO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
10 D BIONDO,10 D BIONDO CH.MO CHAMPAGNE,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
10 N BIONDO,10 N BIONDO PASTELLO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
2 N BRUNO          *,NOT AVAILABLE,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
3 M MOGANO,3 M MOGANO CHIARO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
3 N CASTANO,3 N CASTANO SCURO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
3 V PRUGNA,3 V PRUGNA SCURO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
4 D CASTANO,4 D CASTANO CHIARO DORATO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
4 M MOGANO,4 M MOGANO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
4 N CASTANO,4 N CASTANO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
4 R CASTANO,4 R CASTANO RAMATO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
4 V PRUGNA,4 V PRUGNA,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
5 C CASTANO,5 C CASTANO CHIARO CENERE,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
5 D CASTANO,5 D CASTANO CHIARO DORATO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
5 M MOGANO,5 M MOGANO CHIARO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
